Month,Occupation,Demand,SOC_Code,Median_Salary
2025-05-01,Database administrators and web content technicians,1409.0,3133.0,32000
2023-01-01,Data analysts,3606.0,3544.0,39000
2023-02-01,Data analysts,3358.0,3544.0,39100
2023-03-01,Data analysts,3261.0,3544.0,40000
2023-04-01,Data analysts,2462.0,3544.0,40000
2023-05-01,Data analysts,2962.0,3544.0,40000
2023-06-01,Data analysts,2965.0,3544.0,39600
2023-07-01,Data analysts,2289.0,3544.0,40000
2023-08-01,Data analysts,2084.0,3544.0,40000
2023-09-01,Data analysts,1614.0,3544.0,40000
2023-10-01,Data analysts,1741.0,3544.0,40000
2023-11-01,Data analysts,1699.0,3544.0,40000
2023-12-01,Data analysts,1558.0,3544.0,40000
2024-01-01,Data analysts,1952.0,3544.0,40000
2024-02-01,Data analysts,1643.0,3544.0,40000
2024-03-01,Data analysts,1457.0,3544.0,40000
2024-04-01,Data analysts,1538.0,3544.0,40000
2024-05-01,Data analysts,1664.0,3544.0,40000
2024-06-01,Data analysts,1444.0,3544.0,40000
2024-07-01,Data analysts,1566.0,3544.0,40000
2024-08-01,Data analysts,1449.0,3544.0,40000
2024-09-01,Data analysts,1355.0,3544.0,40000
2024-10-01,Data analysts,1261.0,3544.0,40000
2024-11-01,Data analysts,1274.0,3544.0,40000
2024-12-01,Data analysts,913.0,3544.0,40000
2025-01-01,Data analysts,1394.0,3544.0,40000
2025-02-01,Data analysts,1625.0,3544.0,40000
2025-03-01,Data analysts,1733.0,3544.0,40000
2025-04-01,Data analysts,1326.0,3544.0,40000
2025-05-01,Data analysts,2006.0,3544.0,40000
