O*NET-SOC Code,Title,Workplace Example,Element Name,Hot Technology,In Demand,Skill_Category
11-2022.00,Sales Managers,Microsoft SQL Server,Data base user interface and query software,Y,N,Data Analytics
11-2022.00,Sales Managers,NortonLifeLock cybersecurity software,Transaction security and virus protection software,N,N,Cybersecurity
11-2022.00,Sales Managers,Structured query language SQL,Data base user interface and query software,Y,N,Data Analytics
11-2022.00,Sales Managers,Tableau,Business intelligence and data analysis software,Y,N,Data Analytics
11-3013.01,Security Managers,Firewall software,Network security and virtual private network VPN equipment software,N,N,Cybersecurity
11-3013.01,Security Managers,NortonLifeLock cybersecurity software,Transaction security and virus protection software,N,N,Cybersecurity
11-3021.00,Computer and Information Systems Managers,Firewall software,Network security and virtual private network VPN equipment software,N,N,Cybersecurity
11-3021.00,Computer and Information Systems Managers,Microsoft SQL Server,Data base user interface and query software,Y,N,Data Analytics
11-3021.00,Computer and Information Systems Managers,Microsoft SQL Server Reporting Services SSRS,Object or component oriented development software,Y,N,Data Analytics
11-3021.00,Computer and Information Systems Managers,MySQL,Data base user interface and query software,Y,N,Data Analytics
11-3021.00,Computer and Information Systems Managers,NortonLifeLock cybersecurity software,Transaction security and virus protection software,N,N,Cybersecurity
11-3021.00,Computer and Information Systems Managers,NoSQL,Data base management system software,Y,N,Data Analytics
11-3021.00,Computer and Information Systems Managers,Oracle PL/SQL,Data base management system software,Y,N,Data Analytics
11-3021.00,Computer and Information Systems Managers,PostgreSQL,Object oriented data base management software,Y,N,Data Analytics
11-3021.00,Computer and Information Systems Managers,Python,Object or component oriented development software,Y,N,Data Analytics
11-3021.00,Computer and Information Systems Managers,Structured query language SQL,Data base user interface and query software,Y,N,Data Analytics
11-3021.00,Computer and Information Systems Managers,Tableau,Business intelligence and data analysis software,Y,N,Data Analytics
11-3031.00,Financial Managers,Microsoft SQL Server,Data base user interface and query software,Y,N,Data Analytics
11-3031.00,Financial Managers,Structured query language SQL,Data base user interface and query software,Y,N,Data Analytics
11-3031.00,Financial Managers,Tableau,Business intelligence and data analysis software,Y,N,Data Analytics
11-3031.01,Treasurers and Controllers,Structured query language SQL,Data base user interface and query software,Y,N,Data Analytics
11-3031.03,Investment Fund Managers,Microsoft Power BI,Business intelligence and data analysis software,Y,N,Data Analytics
11-3031.03,Investment Fund Managers,Structured query language SQL,Data base user interface and query software,Y,N,Data Analytics
11-3031.03,Investment Fund Managers,Tableau,Business intelligence and data analysis software,Y,N,Data Analytics
11-3051.01,Quality Control Systems Managers,Microsoft SQL Server,Data base user interface and query software,Y,N,Data Analytics
11-3051.01,Quality Control Systems Managers,Structured query language SQL,Data base user interface and query software,Y,N,Data Analytics
11-3051.06,Hydroelectric Production Managers,Microsoft SQL Server,Data base management system software,Y,N,Data Analytics
11-3051.06,Hydroelectric Production Managers,Structure query language SQL,Data base user interface and query software,N,N,Data Analytics
11-3071.00,"Transportation, Storage, and Distribution Managers",Microsoft SQL Server,Data base user interface and query software,Y,N,Data Analytics
11-3071.00,"Transportation, Storage, and Distribution Managers",Structured query language SQL,Data base user interface and query software,Y,N,Data Analytics
11-3071.04,Supply Chain Managers,Microsoft SQL Server,Data base user interface and query software,Y,N,Data Analytics
11-3071.04,Supply Chain Managers,Structured query language SQL,Data base user interface and query software,Y,N,Data Analytics
11-3111.00,Compensation and Benefits Managers,Microsoft SQL Server,Data base user interface and query software,Y,N,Data Analytics
11-3111.00,Compensation and Benefits Managers,Structured query language SQL,Data base user interface and query software,Y,N,Data Analytics
11-9041.00,Architectural and Engineering Managers,Microsoft SQL Server,Data base user interface and query software,Y,N,Data Analytics
11-9041.00,Architectural and Engineering Managers,MySQL,Data base management system software,Y,N,Data Analytics
11-9041.00,Architectural and Engineering Managers,NoSQL,Data base management system software,Y,N,Data Analytics
11-9041.00,Architectural and Engineering Managers,PostgreSQL,Object oriented data base management software,Y,N,Data Analytics
11-9041.00,Architectural and Engineering Managers,Python,Object or component oriented development software,Y,N,Data Analytics
11-9041.00,Architectural and Engineering Managers,Structured query language SQL,Data base user interface and query software,Y,N,Data Analytics
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Microsoft SQL Server,Data base management system software,Y,N,Data Analytics
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Microsoft SQL Server Integration Services SSIS,Enterprise application integration software,Y,N,Data Analytics
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Microsoft SQL Server Reporting Services SSRS,Object or component oriented development software,Y,N,Data Analytics
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Python,Object or component oriented development software,Y,N,Data Analytics
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Structure query language SQL,Data base user interface and query software,N,N,Data Analytics
11-9111.00,Medical and Health Services Managers,Microsoft SQL Server,Data base user interface and query software,Y,N,Data Analytics
11-9111.00,Medical and Health Services Managers,Microsoft SQL Server Integration Services SSIS,Enterprise application integration software,Y,N,Data Analytics
11-9111.00,Medical and Health Services Managers,Microsoft SQL Server Reporting Services SSRS,Data base reporting software,Y,N,Data Analytics
11-9111.00,Medical and Health Services Managers,Structured query language SQL,Data base user interface and query software,Y,N,Data Analytics
11-9111.00,Medical and Health Services Managers,Tableau,Business intelligence and data analysis software,Y,N,Data Analytics
11-9121.00,Natural Sciences Managers,Structured query language SQL,Data base user interface and query software,Y,N,Data Analytics
11-9121.01,Clinical Research Coordinators,Python,Object or component oriented development software,Y,N,Data Analytics
11-9121.02,Water Resource Specialists,Structured query language SQL,Data base user interface and query software,Y,N,Data Analytics
11-9199.01,Regulatory Affairs Managers,Structured query language SQL,Data base user interface and query software,Y,N,Data Analytics
11-9199.01,Regulatory Affairs Managers,Tableau,Business intelligence and data analysis software,Y,N,Data Analytics
11-9199.02,Compliance Managers,Data analysis software,Analytical or scientific software,N,N,Data Analytics
11-9199.08,Loss Prevention Managers,MySQL,Data base user interface and query software,Y,N,Data Analytics
11-9199.08,Loss Prevention Managers,Structured query language SQL,Data base user interface and query software,Y,N,Data Analytics
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,Microsoft SQL Server Reporting Services SSRS,Object or component oriented development software,Y,N,Data Analytics
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,PostgreSQL,Object oriented data base management software,Y,N,Data Analytics
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,Python,Object or component oriented development software,Y,N,Data Analytics
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,Structure query language SQL,Data base user interface and query software,N,N,Data Analytics
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,Tableau,Business intelligence and data analysis software,Y,N,Data Analytics
13-1041.06,Coroners,Microsoft SQL Server Reporting Services SSRS,Data base reporting software,Y,N,Data Analytics
13-1041.06,Coroners,Structured query language SQL,Data base user interface and query software,Y,N,Data Analytics
13-1041.06,Coroners,Transact-SQL,Data base user interface and query software,Y,N,Data Analytics
13-1041.07,Regulatory Affairs Specialists,Microsoft SQL Server,Data base user interface and query software,Y,N,Data Analytics
13-1041.07,Regulatory Affairs Specialists,NortonLifeLock cybersecurity software,Transaction security and virus protection software,N,N,Cybersecurity
13-1041.07,Regulatory Affairs Specialists,Structured query language SQL,Data base user interface and query software,Y,N,Data Analytics
13-1071.00,Human Resources Specialists,Microsoft SQL Server,Data base user interface and query software,Y,N,Data Analytics
13-1071.00,Human Resources Specialists,Microsoft SQL Server Reporting Services SSRS,Data base reporting software,Y,N,Data Analytics
13-1071.00,Human Resources Specialists,Tableau,Business intelligence and data analysis software,Y,N,Data Analytics
13-1081.00,Logisticians,Microsoft SQL Server,Data base user interface and query software,Y,N,Data Analytics
13-1081.00,Logisticians,Structured query language SQL,Data base user interface and query software,Y,N,Data Analytics
13-1081.01,Logistics Engineers,Microsoft Power BI,Business intelligence and data analysis software,Y,N,Data Analytics
13-1081.01,Logistics Engineers,Microsoft SQL Server,Data base management system software,Y,N,Data Analytics
13-1081.01,Logistics Engineers,Python,Object or component oriented development software,Y,N,Data Analytics
13-1081.01,Logistics Engineers,Structured query language SQL,Data base user interface and query software,Y,N,Data Analytics
13-1081.01,Logistics Engineers,Tableau,Business intelligence and data analysis software,Y,N,Data Analytics
13-1081.02,Logistics Analysts,Microsoft Power BI,Business intelligence and data analysis software,Y,Y,Data Analytics
13-1081.02,Logistics Analysts,Microsoft SQL Server,Data base user interface and query software,Y,N,Data Analytics
13-1081.02,Logistics Analysts,Structured query language SQL,Data base user interface and query software,Y,Y,Data Analytics
13-1081.02,Logistics Analysts,Tableau,Business intelligence and data analysis software,Y,Y,Data Analytics
13-1082.00,Project Management Specialists,Tableau,Business intelligence and data analysis software,Y,N,Data Analytics
13-1111.00,Management Analysts,Microsoft Power BI,Business intelligence and data analysis software,Y,Y,Data Analytics
13-1111.00,Management Analysts,Microsoft SQL Server,Data base user interface and query software,Y,N,Data Analytics
13-1111.00,Management Analysts,Microsoft SQL Server Integration Services SSIS,Enterprise application integration software,Y,N,Data Analytics
13-1111.00,Management Analysts,Microsoft SQL Server Reporting Services SSRS,Data base reporting software,Y,N,Data Analytics
13-1111.00,Management Analysts,MySQL,Data base user interface and query software,Y,N,Data Analytics
13-1111.00,Management Analysts,NortonLifeLock cybersecurity software,Transaction security and virus protection software,N,N,Cybersecurity
13-1111.00,Management Analysts,NoSQL,Data base management system software,Y,N,Data Analytics
13-1111.00,Management Analysts,Oracle PL/SQL,Data base management system software,Y,N,Data Analytics
13-1111.00,Management Analysts,PostgreSQL,Object oriented data base management software,Y,N,Data Analytics
13-1111.00,Management Analysts,Python,Object or component oriented development software,Y,Y,Data Analytics
13-1111.00,Management Analysts,Structured query language SQL,Data base user interface and query software,Y,Y,Data Analytics
13-1111.00,Management Analysts,Tableau,Business intelligence and data analysis software,Y,Y,Data Analytics
13-1111.00,Management Analysts,Transact-SQL,Data base user interface and query software,Y,N,Data Analytics
13-1131.00,Fundraisers,Structured query language SQL,Data base user interface and query software,Y,N,Data Analytics
13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",Microsoft SQL Server,Data base user interface and query software,Y,N,Data Analytics
13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",Structured query language SQL,Data base user interface and query software,Y,N,Data Analytics
13-1151.00,Training and Development Specialists,MySQL,Data base management system software,Y,N,Data Analytics
13-1151.00,Training and Development Specialists,Oracle PL/SQL,Data base management system software,Y,N,Data Analytics
13-1161.00,Market Research Analysts and Marketing Specialists,Data analysis software,Analytical or scientific software,N,N,Data Analytics
13-1161.00,Market Research Analysts and Marketing Specialists,Microsoft SQL Server,Data base user interface and query software,Y,N,Data Analytics
13-1161.00,Market Research Analysts and Marketing Specialists,MySQL,Data base user interface and query software,Y,N,Data Analytics
13-1161.00,Market Research Analysts and Marketing Specialists,NortonLifeLock cybersecurity software,Transaction security and virus protection software,N,N,Cybersecurity
13-1161.00,Market Research Analysts and Marketing Specialists,Structured query language SQL,Data base user interface and query software,Y,N,Data Analytics
13-1161.00,Market Research Analysts and Marketing Specialists,Tableau,Business intelligence and data analysis software,Y,N,Data Analytics
13-1161.01,Search Marketing Strategists,Microsoft SQL Server,Data base user interface and query software,Y,N,Data Analytics
13-1161.01,Search Marketing Strategists,MySQL,Data base management system software,Y,N,Data Analytics
13-1161.01,Search Marketing Strategists,Python,Object or component oriented development software,Y,Y,Data Analytics
13-1161.01,Search Marketing Strategists,Structured query language SQL,Data base user interface and query software,Y,N,Data Analytics
13-1161.01,Search Marketing Strategists,Tableau,Business intelligence and data analysis software,Y,N,Data Analytics
13-1199.04,Business Continuity Planners,Microsoft SQL Server,Data base user interface and query software,Y,N,Data Analytics
13-1199.04,Business Continuity Planners,Structured query language SQL,Data base user interface and query software,Y,N,Data Analytics
13-1199.05,Sustainability Specialists,Microsoft Power BI,Business intelligence and data analysis software,Y,Y,Data Analytics
13-1199.05,Sustainability Specialists,Structured query language SQL,Data base user interface and query software,Y,N,Data Analytics
13-1199.05,Sustainability Specialists,Tableau,Business intelligence and data analysis software,Y,Y,Data Analytics
13-1199.06,Online Merchants,Bing for Power BI,Data mining software,N,N,Data Analytics
13-1199.06,Online Merchants,Microsoft SQL Server,Data base user interface and query software,Y,N,Data Analytics
13-1199.06,Online Merchants,MySQL,Data base management system software,Y,N,Data Analytics
13-1199.06,Online Merchants,Structured query language SQL,Data base user interface and query software,Y,N,Data Analytics
13-1199.07,Security Management Specialists,CyberArk,Network security or virtual private network VPN management software,N,N,Cybersecurity
13-1199.07,Security Management Specialists,Firewall software,Network security and virtual private network VPN equipment software,N,Y,Cybersecurity
13-1199.07,Security Management Specialists,Intrusion prevention system IPS,Network security or virtual private network VPN management software,N,N,Cybersecurity
13-1199.07,Security Management Specialists,NortonLifeLock cybersecurity software,Transaction security and virus protection software,N,N,Cybersecurity
13-1199.07,Security Management Specialists,Security assertion markup language SAML,Web platform development software,N,N,Cybersecurity
13-1199.07,Security Management Specialists,Structured query language SQL,Data base user interface and query software,Y,N,Data Analytics
13-2011.00,Accountants and Auditors,Microsoft SQL Server,Data base user interface and query software,Y,N,Data Analytics
13-2011.00,Accountants and Auditors,NortonLifeLock cybersecurity software,Transaction security and virus protection software,N,N,Cybersecurity
13-2011.00,Accountants and Auditors,Structured query language SQL,Data base user interface and query software,Y,N,Data Analytics
13-2011.00,Accountants and Auditors,Tableau,Business intelligence and data analysis software,Y,N,Data Analytics
13-2031.00,Budget Analysts,Microsoft Power BI,Business intelligence and data analysis software,Y,Y,Data Analytics
13-2031.00,Budget Analysts,Structured query language SQL,Data base user interface and query software,Y,N,Data Analytics
13-2041.00,Credit Analysts,Microsoft SQL Server,Data base user interface and query software,Y,N,Data Analytics
13-2041.00,Credit Analysts,Python,Object or component oriented development software,Y,N,Data Analytics
13-2041.00,Credit Analysts,Structured query language SQL,Data base user interface and query software,Y,N,Data Analytics
13-2051.00,Financial and Investment Analysts,Microsoft Power BI,Business intelligence and data analysis software,Y,Y,Data Analytics
13-2051.00,Financial and Investment Analysts,Microsoft SQL Server,Data base user interface and query software,Y,N,Data Analytics
13-2051.00,Financial and Investment Analysts,Microsoft SQL Server Reporting Services SSRS,Data base reporting software,Y,N,Data Analytics
13-2051.00,Financial and Investment Analysts,Structured query language SQL,Data base user interface and query software,Y,Y,Data Analytics
13-2051.00,Financial and Investment Analysts,Tableau,Business intelligence and data analysis software,Y,Y,Data Analytics
13-2052.00,Personal Financial Advisors,Microsoft SQL Server,Data base user interface and query software,Y,N,Data Analytics
13-2052.00,Personal Financial Advisors,Structured query language SQL,Data base user interface and query software,Y,N,Data Analytics
13-2054.00,Financial Risk Specialists,Microsoft Power BI,Business intelligence and data analysis software,Y,Y,Data Analytics
13-2054.00,Financial Risk Specialists,Microsoft SQL Server,Data base user interface and query software,Y,N,Data Analytics
13-2054.00,Financial Risk Specialists,Microsoft SQL Server Reporting Services SSRS,Data base reporting software,Y,N,Data Analytics
13-2054.00,Financial Risk Specialists,Python,Object or component oriented development software,Y,Y,Data Analytics
13-2054.00,Financial Risk Specialists,PyTorch,Data base user interface and query software,Y,N,AI
13-2054.00,Financial Risk Specialists,Structured query language SQL,Data base user interface and query software,Y,Y,Data Analytics
13-2054.00,Financial Risk Specialists,Tableau,Business intelligence and data analysis software,Y,Y,Data Analytics
13-2054.00,Financial Risk Specialists,TensorFlow,Analytical or scientific software,Y,N,AI
13-2061.00,Financial Examiners,Structured query language SQL,Data base user interface and query software,Y,N,Data Analytics
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",Microsoft Power BI,Business intelligence and data analysis software,Y,N,Data Analytics
13-2099.01,Financial Quantitative Analysts,Microsoft Power BI,Business intelligence and data analysis software,Y,N,Data Analytics
13-2099.01,Financial Quantitative Analysts,Microsoft SQL Server,Data base user interface and query software,Y,N,Data Analytics
13-2099.01,Financial Quantitative Analysts,Python,Object or component oriented development software,Y,Y,Data Analytics
13-2099.01,Financial Quantitative Analysts,Structured query language SQL,Data base user interface and query software,Y,Y,Data Analytics
13-2099.01,Financial Quantitative Analysts,Tableau,Business intelligence and data analysis software,Y,Y,Data Analytics
13-2099.04,"Fraud Examiners, Investigators and Analysts",Microsoft SQL Server,Data base user interface and query software,Y,N,Data Analytics
13-2099.04,"Fraud Examiners, Investigators and Analysts",NortonLifeLock cybersecurity software,Transaction security and virus protection software,N,N,Cybersecurity
13-2099.04,"Fraud Examiners, Investigators and Analysts",Python,Object or component oriented development software,Y,N,Data Analytics
13-2099.04,"Fraud Examiners, Investigators and Analysts",Structured query language SQL,Data base user interface and query software,Y,Y,Data Analytics
13-2099.04,"Fraud Examiners, Investigators and Analysts",Tableau,Business intelligence and data analysis software,Y,N,Data Analytics
15-1211.00,Computer Systems Analysts,Microsoft Power BI,Business intelligence and data analysis software,Y,Y,Data Analytics
15-1211.00,Computer Systems Analysts,Microsoft SQL Server,Data base user interface and query software,Y,N,Data Analytics
15-1211.00,Computer Systems Analysts,Microsoft SQL Server Integration Services SSIS,Enterprise application integration software,Y,N,Data Analytics
15-1211.00,Computer Systems Analysts,Microsoft SQL Server Reporting Services SSRS,Data base reporting software,Y,N,Data Analytics
15-1211.00,Computer Systems Analysts,MySQL,Data base management system software,Y,N,Data Analytics
15-1211.00,Computer Systems Analysts,Network intrusion prevention systems NIPS,Network monitoring software,N,N,Cybersecurity
15-1211.00,Computer Systems Analysts,NortonLifeLock cybersecurity software,Transaction security and virus protection software,N,N,Cybersecurity
15-1211.00,Computer Systems Analysts,NoSQL,Data base management system software,Y,N,Data Analytics
15-1211.00,Computer Systems Analysts,Oracle PL/SQL,Data base management system software,Y,N,Data Analytics
15-1211.00,Computer Systems Analysts,Oracle SQL Developer,Development environment software,Y,N,Data Analytics
15-1211.00,Computer Systems Analysts,PostgreSQL,Object oriented data base management software,Y,N,Data Analytics
15-1211.00,Computer Systems Analysts,Python,Object or component oriented development software,Y,Y,Data Analytics
15-1211.00,Computer Systems Analysts,Security testing software,Program testing software,N,N,Cybersecurity
15-1211.00,Computer Systems Analysts,Structured query language SQL,Data base user interface and query software,Y,Y,Data Analytics
15-1211.00,Computer Systems Analysts,Tableau,Business intelligence and data analysis software,Y,N,Data Analytics
15-1211.00,Computer Systems Analysts,Transact-SQL,Data base user interface and query software,Y,N,Data Analytics
15-1211.01,Health Informatics Specialists,Microsoft Power BI,Business intelligence and data analysis software,Y,Y,Data Analytics
15-1211.01,Health Informatics Specialists,Microsoft SQL Server Reporting Services SSRS,Object or component oriented development software,Y,N,Data Analytics
15-1211.01,Health Informatics Specialists,Python,Object or component oriented development software,Y,Y,Data Analytics
15-1211.01,Health Informatics Specialists,Structured query language SQL,Data base user interface and query software,Y,Y,Data Analytics
15-1211.01,Health Informatics Specialists,Tableau,Business intelligence and data analysis software,Y,Y,Data Analytics
15-1212.00,Information Security Analysts,Firewall software,Network security and virtual private network VPN equipment software,N,Y,Cybersecurity
15-1212.00,Information Security Analysts,IBM QRadar SIEM,Network monitoring software,N,N,Cybersecurity
15-1212.00,Information Security Analysts,Intrusion prevention system IPS,Network security or virtual private network VPN management software,N,N,Cybersecurity
15-1212.00,Information Security Analysts,Juniper Networks NetScreen-Security Manager,Network security and virtual private network VPN equipment software,N,N,Cybersecurity
15-1212.00,Information Security Analysts,Microsoft SQL Server,Data base user interface and query software,Y,N,Data Analytics
15-1212.00,Information Security Analysts,Microsoft SQL Server Integration Services SSIS,Enterprise application integration software,Y,N,Data Analytics
15-1212.00,Information Security Analysts,Microsoft SQL Server Reporting Services SSRS,Data base reporting software,Y,N,Data Analytics
15-1212.00,Information Security Analysts,MySQL,Data base management system software,Y,N,Data Analytics
15-1212.00,Information Security Analysts,Network intrusion prevention systems NIPS,Network monitoring software,N,N,Cybersecurity
15-1212.00,Information Security Analysts,Network security auditing software,Network security or virtual private network VPN management software,N,N,Cybersecurity
15-1212.00,Information Security Analysts,NortonLifeLock cybersecurity software,Transaction security and virus protection software,N,N,Cybersecurity
15-1212.00,Information Security Analysts,NoSQL,Data base management system software,Y,N,Data Analytics
15-1212.00,Information Security Analysts,Oracle PL/SQL,Data base management system software,Y,N,Data Analytics
15-1212.00,Information Security Analysts,Penetration testing software,Transaction security and virus protection software,N,N,Cybersecurity
15-1212.00,Information Security Analysts,PostgreSQL,Object oriented data base management software,Y,N,Data Analytics
15-1212.00,Information Security Analysts,Python,Object or component oriented development software,Y,Y,Data Analytics
15-1212.00,Information Security Analysts,Security incident management software,Network security or virtual private network VPN management software,N,N,Cybersecurity
15-1212.00,Information Security Analysts,Security risk assessment software,Transaction security and virus protection software,N,N,Cybersecurity
15-1212.00,Information Security Analysts,Structured query language SQL,Data base user interface and query software,Y,N,Data Analytics
15-1212.00,Information Security Analysts,Tableau,Business intelligence and data analysis software,Y,N,Data Analytics
15-1221.00,Computer and Information Research Scientists,Microsoft Power BI,Business intelligence and data analysis software,Y,N,Data Analytics
15-1221.00,Computer and Information Research Scientists,Microsoft SQL Server,Data base user interface and query software,Y,N,Data Analytics
15-1221.00,Computer and Information Research Scientists,MySQL,Data base management system software,Y,N,Data Analytics
15-1221.00,Computer and Information Research Scientists,NoSQL,Data base management system software,Y,N,Data Analytics
15-1221.00,Computer and Information Research Scientists,PostgreSQL,Object oriented data base management software,Y,N,Data Analytics
15-1221.00,Computer and Information Research Scientists,Python,Object or component oriented development software,Y,Y,Data Analytics
15-1221.00,Computer and Information Research Scientists,PyTorch,Data base user interface and query software,Y,Y,AI
15-1221.00,Computer and Information Research Scientists,Structured query language SQL,Data base user interface and query software,Y,Y,Data Analytics
15-1221.00,Computer and Information Research Scientists,Tableau,Business intelligence and data analysis software,Y,N,Data Analytics
15-1221.00,Computer and Information Research Scientists,TensorFlow,Analytical or scientific software,Y,Y,AI
15-1221.00,Computer and Information Research Scientists,Transact-SQL,Data base user interface and query software,Y,N,Data Analytics
15-1231.00,Computer Network Support Specialists,Firewall software,Network security and virtual private network VPN equipment software,N,Y,Cybersecurity
15-1231.00,Computer Network Support Specialists,IBM Security Network Intrusion Prevention System,Network security or virtual private network VPN management software,N,N,Cybersecurity
15-1231.00,Computer Network Support Specialists,Intrusion prevention system IPS,Network security or virtual private network VPN management software,N,N,Cybersecurity
15-1231.00,Computer Network Support Specialists,Microsoft SQL Server,Data base user interface and query software,Y,N,Data Analytics
15-1231.00,Computer Network Support Specialists,MySQL,Data base management system software,Y,N,Data Analytics
15-1231.00,Computer Network Support Specialists,NortonLifeLock cybersecurity software,Transaction security and virus protection software,N,N,Cybersecurity
15-1231.00,Computer Network Support Specialists,Python,Object or component oriented development software,Y,N,Data Analytics
15-1231.00,Computer Network Support Specialists,Security incident management software,Network security or virtual private network VPN management software,N,N,Cybersecurity
15-1231.00,Computer Network Support Specialists,Structured query language SQL,Data base user interface and query software,Y,N,Data Analytics
15-1232.00,Computer User Support Specialists,Firewall software,Network security and virtual private network VPN equipment software,N,Y,Cybersecurity
15-1232.00,Computer User Support Specialists,Microsoft SQL Server,Data base user interface and query software,Y,N,Data Analytics
15-1232.00,Computer User Support Specialists,Microsoft SQL Server Integration Services SSIS,Enterprise application integration software,Y,N,Data Analytics
15-1232.00,Computer User Support Specialists,Microsoft SQL Server Reporting Services SSRS,Data base reporting software,Y,N,Data Analytics
15-1232.00,Computer User Support Specialists,MySQL,Data base user interface and query software,Y,N,Data Analytics
15-1232.00,Computer User Support Specialists,NortonLifeLock cybersecurity software,Transaction security and virus protection software,N,N,Cybersecurity
15-1232.00,Computer User Support Specialists,NoSQL,Data base management system software,Y,N,Data Analytics
15-1232.00,Computer User Support Specialists,Oracle PL/SQL,Data base management system software,Y,N,Data Analytics
15-1232.00,Computer User Support Specialists,PostgreSQL,Object oriented data base management software,Y,N,Data Analytics
15-1232.00,Computer User Support Specialists,Python,Object or component oriented development software,Y,N,Data Analytics
15-1232.00,Computer User Support Specialists,Structured query language SQL,Data base user interface and query software,Y,Y,Data Analytics
15-1232.00,Computer User Support Specialists,Tableau,Business intelligence and data analysis software,Y,N,Data Analytics
15-1232.00,Computer User Support Specialists,Transact-SQL,Data base user interface and query software,Y,N,Data Analytics
15-1241.00,Computer Network Architects,Firewall software,Network security and virtual private network VPN equipment software,N,Y,Cybersecurity
15-1241.00,Computer Network Architects,Internet Protocol Security IPSEC,Network security or virtual private network VPN management software,N,N,Cybersecurity
15-1241.00,Computer Network Architects,Intrusion prevention system IPS,Network security or virtual private network VPN management software,N,N,Cybersecurity
15-1241.00,Computer Network Architects,Microsoft SQL Server,Data base user interface and query software,Y,N,Data Analytics
15-1241.00,Computer Network Architects,Microsoft SQL Server Reporting Services SSRS,Data base reporting software,Y,N,Data Analytics
15-1241.00,Computer Network Architects,MySQL,Data base management system software,Y,N,Data Analytics
15-1241.00,Computer Network Architects,Network intrusion prevention systems NIPS,Network monitoring software,N,N,Cybersecurity
15-1241.00,Computer Network Architects,NortonLifeLock cybersecurity software,Transaction security and virus protection software,N,N,Cybersecurity
15-1241.00,Computer Network Architects,NoSQL,Data base management system software,Y,N,Data Analytics
15-1241.00,Computer Network Architects,Oracle PL/SQL,Data base management system software,Y,N,Data Analytics
15-1241.00,Computer Network Architects,Penetration testing software,Transaction security and virus protection software,N,N,Cybersecurity
15-1241.00,Computer Network Architects,PostgreSQL,Object oriented data base management software,Y,N,Data Analytics
15-1241.00,Computer Network Architects,Python,Object or component oriented development software,Y,Y,Data Analytics
15-1241.00,Computer Network Architects,Security incident management software,Network security or virtual private network VPN management software,N,N,Cybersecurity
15-1241.00,Computer Network Architects,Structured query language SQL,Data base user interface and query software,Y,Y,Data Analytics
15-1241.00,Computer Network Architects,Tableau,Business intelligence and data analysis software,Y,N,Data Analytics
15-1241.00,Computer Network Architects,Transact-SQL,Data base user interface and query software,Y,N,Data Analytics
